# CANN 8.5 Kernel Manifest
# Generated for tile-rs project
# Format: kernel_name\tcategory\tscheduler_pattern (TSV)
#
# Categories:
#   ops_legacy      (200) - Basic unary/binary element-wise operations
#   ops_math        (120) - Mathematical and special functions
#   ops_nn          (150) - Neural network activations, norms, pooling, and loss
#   ops_transformer (200) - Attention, matmul, MHA, MoE, and decoding variants
#   ops_optimizer   ( 82) - Optimizer kernels (Adam, SGD, LAMB, etc.)
#   ops_reduce      ( 80) - Reduction operations (sum, max, argmax, cumulative)
#   ops_resize      ( 52) - Interpolation, upsampling, and spatial resize
#   ops_index       (114) - Gather, scatter, sort, topk, and indexing ops
#
# Scheduler patterns (from CANN AscendC template library):
#   ForeachImplictOutput              - Unary ops (exp, sqrt, ln, ceil, floor, etc.)
#   ForeachImplictOutputLevelZeroApi  - Unary via level-0 binary (neg=Sub+0, reciprocal=Div+1)
#   ForeachTriangle                   - Unary via Adapter structs (sin, cos, abs, erf, gelu, etc.)
#   ElementwiseSch                    - DAG-based elementwise scheduler
#   ElementwiseSch16B                 - 16-byte aligned elementwise scheduler
#   ForeachNoScalarBinary             - Binary tensor-tensor ops (add, mul, max, etc.)
#   ForeachOneScalarBinary            - Binary tensor-scalar ops (adds, muls, etc.)
#   ForeachOneScalarTernary           - Ternary with scalar (add_list_alpha, etc.)
#   ForeachAddCMul / ForeachAddCDiv   - Fused multiply-add/divide
#   ForeachCopyND                     - N-dimensional copy
#   ForeachZeroInplace                - In-place zero fill
#   ZerosLike / OnesLike              - Constant tensor creation
#   ForeachLerp                       - Linear interpolation
#   ReduceSch                         - Reduction scheduler
#   BroadcastSch                      - Broadcast scheduler
#
# Total kernels: 998
# Source: CANN 8.5 kernel library (Ascend NPU)
# Hardware targets: 910B (Ascend 910B), 310P (Ascend 310P)
# Dtype suffixes: f32 (float32), f16 (float16), bf16 (bfloat16),
#                 int32 (int32), int8 (int8), int64 (int64)
#   transpilable = yes: genuine CANN scheduler template, transpiler produces correct code
#   transpilable = no: complex hand-written kernel, listed for coverage tracking only
#
kernel_name	category	scheduler_pattern	transpilable
foreach_div_scalar_f16	ops_legacy	ForeachOneScalarBinary	yes
foreach_div_scalar_bf16	ops_legacy	ForeachOneScalarBinary	yes
foreach_max_scalar_f32	ops_legacy	ForeachOneScalarBinary	yes
foreach_max_scalar_f16	ops_legacy	ForeachOneScalarBinary	yes
foreach_max_scalar_bf16	ops_legacy	ForeachOneScalarBinary	yes
foreach_min_scalar_f32	ops_legacy	ForeachOneScalarBinary	yes
foreach_min_scalar_f16	ops_legacy	ForeachOneScalarBinary	yes
foreach_min_scalar_bf16	ops_legacy	ForeachOneScalarBinary	yes
foreach_pow_scalar_f32	ops_legacy	ForeachOneScalarBinary	yes
foreach_pow_scalar_f16	ops_legacy	ForeachOneScalarBinary	yes
foreach_pow_scalar_bf16	ops_legacy	ForeachOneScalarBinary	yes
foreach_clamp_scalar_f32	ops_legacy	ForeachOneScalarBinary	yes
foreach_clamp_scalar_f16	ops_legacy	ForeachOneScalarBinary	yes
foreach_clamp_scalar_bf16	ops_legacy	ForeachOneScalarBinary	yes
foreach_add_list_alpha_f32	ops_legacy	ForeachOneScalarTernary	yes
foreach_add_list_alpha_f16	ops_legacy	ForeachOneScalarTernary	yes
foreach_add_list_alpha_bf16	ops_legacy	ForeachOneScalarTernary	yes
foreach_sub_list_alpha_f32	ops_legacy	ForeachOneScalarTernary	yes
foreach_sub_list_alpha_f16	ops_legacy	ForeachOneScalarTernary	yes
foreach_sub_list_alpha_bf16	ops_legacy	ForeachOneScalarTernary	yes
foreach_addcmul_f32	ops_legacy	ForeachAddCMul	yes
foreach_addcdiv_f32	ops_legacy	ForeachAddCDiv	yes
foreach_copy_f32	ops_legacy	ForeachCopyND	yes
foreach_zero_inplace_f32	ops_legacy	ForeachZeroInplace	yes
foreach_lerp_f32	ops_legacy	ForeachLerp	yes
foreach_addcmul_f16	ops_legacy	ForeachAddCMul	yes
foreach_addcdiv_f16	ops_legacy	ForeachAddCDiv	yes
foreach_copy_f16	ops_legacy	ForeachCopyND	yes
foreach_zero_inplace_f16	ops_legacy	ForeachZeroInplace	yes
foreach_lerp_f16	ops_legacy	ForeachLerp	yes
foreach_addcmul_bf16	ops_legacy	ForeachAddCMul	yes
foreach_addcdiv_bf16	ops_legacy	ForeachAddCDiv	yes
foreach_copy_bf16	ops_legacy	ForeachCopyND	yes
foreach_zero_inplace_bf16	ops_legacy	ForeachZeroInplace	yes
foreach_lerp_bf16	ops_legacy	ForeachLerp	yes
zeros_like_f32	ops_legacy	ZerosLike	yes
ones_like_f32	ops_legacy	OnesLike	yes
zeros_like_f16	ops_legacy	ZerosLike	yes
ones_like_f16	ops_legacy	OnesLike	yes
zeros_like_bf16	ops_legacy	ZerosLike	yes
ones_like_bf16	ops_legacy	OnesLike	yes
zeros_like_int32	ops_legacy	ZerosLike	yes
ones_like_int32	ops_legacy	OnesLike	yes
elementwise_abs_f32	ops_legacy	ElementwiseSch	yes
elementwise_abs_f16	ops_legacy	ElementwiseSch	yes
elementwise_abs_bf16	ops_legacy	ElementwiseSch	yes
elementwise_relu_f32	ops_legacy	ElementwiseSch	yes
elementwise_relu_f16	ops_legacy	ElementwiseSch	yes
elementwise_relu_bf16	ops_legacy	ElementwiseSch	yes
elementwise_gelu_f32	ops_legacy	ElementwiseSch	yes
elementwise_gelu_f16	ops_legacy	ElementwiseSch	yes
elementwise_gelu_bf16	ops_legacy	ElementwiseSch	yes
elementwise_silu_f32	ops_legacy	ElementwiseSch	yes
elementwise_silu_f16	ops_legacy	ElementwiseSch	yes
elementwise_silu_bf16	ops_legacy	ElementwiseSch	yes
elementwise_neg_f32	ops_legacy	ElementwiseSch	yes
elementwise_neg_f16	ops_legacy	ElementwiseSch	yes
elementwise_neg_bf16	ops_legacy	ElementwiseSch	yes
elementwise_sign_f32	ops_legacy	ElementwiseSch	yes
elementwise_sign_f16	ops_legacy	ElementwiseSch	yes
elementwise_sign_bf16	ops_legacy	ElementwiseSch	yes
elementwise_ceil_f32	ops_legacy	ElementwiseSch	yes
elementwise_ceil_f16	ops_legacy	ElementwiseSch	yes
elementwise_ceil_bf16	ops_legacy	ElementwiseSch	yes
elementwise_floor_f32	ops_legacy	ElementwiseSch	yes
elementwise_floor_f16	ops_legacy	ElementwiseSch	yes
elementwise_floor_bf16	ops_legacy	ElementwiseSch	yes
elementwise16b_abs_f32	ops_legacy	ElementwiseSch16B	yes
elementwise16b_abs_f16	ops_legacy	ElementwiseSch16B	yes
elementwise16b_abs_bf16	ops_legacy	ElementwiseSch16B	yes
elementwise16b_relu_f32	ops_legacy	ElementwiseSch16B	yes
elementwise16b_relu_f16	ops_legacy	ElementwiseSch16B	yes
elementwise16b_relu_bf16	ops_legacy	ElementwiseSch16B	yes
elementwise16b_neg_f32	ops_legacy	ElementwiseSch16B	yes
elementwise16b_neg_f16	ops_legacy	ElementwiseSch16B	yes
elementwise16b_neg_bf16	ops_legacy	ElementwiseSch16B	yes
elementwise16b_sign_f32	ops_legacy	ElementwiseSch16B	yes
elementwise16b_sign_f16	ops_legacy	ElementwiseSch16B	yes
elementwise16b_sign_bf16	ops_legacy	ElementwiseSch16B	yes
foreach_abs_int32	ops_legacy	ForeachImplictOutput	yes
foreach_neg_int32	ops_legacy	ForeachImplictOutput	yes
foreach_sign_int32	ops_legacy	ForeachImplictOutput	yes
foreach_bitwise_not_int32	ops_legacy	ForeachImplictOutput	yes
foreach_logical_not_int32	ops_legacy	ForeachImplictOutput	yes
foreach_clamp_int32	ops_legacy	ForeachImplictOutput	yes
foreach_add_list_int32	ops_legacy	ForeachImplictOutput	yes
foreach_sub_list_int32	ops_legacy	ForeachImplictOutput	yes
foreach_mul_list_int32	ops_legacy	ForeachImplictOutput	yes
foreach_max_list_int32	ops_legacy	ForeachImplictOutput	yes
foreach_abs_int8	ops_legacy	ForeachImplictOutput	yes
foreach_neg_int8	ops_legacy	ForeachImplictOutput	yes
foreach_bitwise_not_int8	ops_legacy	ForeachImplictOutput	yes
foreach_clamp_int8	ops_legacy	ForeachImplictOutput	yes
foreach_add_scalar_int32	ops_legacy	ForeachOneScalarBinary	yes
foreach_sub_scalar_int32	ops_legacy	ForeachOneScalarBinary	yes
foreach_mul_scalar_int32	ops_legacy	ForeachOneScalarBinary	yes
foreach_div_scalar_int32	ops_legacy	ForeachOneScalarBinary	yes
foreach_sin_f32	ops_math	ForeachTriangle	yes
foreach_sin_f16	ops_math	ForeachTriangle	yes
foreach_sin_bf16	ops_math	ForeachTriangle	yes
foreach_cos_f32	ops_math	ForeachTriangle	yes
foreach_cos_f16	ops_math	ForeachTriangle	yes
foreach_cos_bf16	ops_math	ForeachTriangle	yes
foreach_tan_f32	ops_math	ForeachTriangle	yes
foreach_tan_f16	ops_math	ForeachTriangle	yes
foreach_tan_bf16	ops_math	ForeachTriangle	yes
foreach_asin_f32	ops_math	ForeachTriangle	yes
foreach_asin_f16	ops_math	ForeachTriangle	yes
foreach_asin_bf16	ops_math	ForeachTriangle	yes
foreach_acos_f32	ops_math	ForeachTriangle	yes
foreach_acos_f16	ops_math	ForeachTriangle	yes
foreach_acos_bf16	ops_math	ForeachTriangle	yes
foreach_atan_f32	ops_math	ForeachTriangle	yes
foreach_atan_f16	ops_math	ForeachTriangle	yes
foreach_atan_bf16	ops_math	ForeachTriangle	yes
foreach_atan2_f32	ops_math	ForeachNoScalarBinary	yes
foreach_atan2_f16	ops_math	ForeachNoScalarBinary	yes
foreach_atan2_bf16	ops_math	ForeachNoScalarBinary	yes
foreach_sinh_f32	ops_math	ForeachTriangle	yes
foreach_sinh_f16	ops_math	ForeachTriangle	yes
foreach_sinh_bf16	ops_math	ForeachTriangle	yes
foreach_cosh_f32	ops_math	ForeachTriangle	yes
foreach_cosh_f16	ops_math	ForeachTriangle	yes
foreach_cosh_bf16	ops_math	ForeachTriangle	yes
foreach_tanh_math_f32	ops_math	ForeachImplictOutput	yes
foreach_tanh_math_f16	ops_math	ForeachImplictOutput	yes
foreach_tanh_math_bf16	ops_math	ForeachImplictOutput	yes
foreach_asinh_f32	ops_math	ForeachTriangle	yes
foreach_asinh_f16	ops_math	ForeachTriangle	yes
foreach_asinh_bf16	ops_math	ForeachTriangle	yes
foreach_acosh_f32	ops_math	ForeachTriangle	yes
foreach_acosh_f16	ops_math	ForeachTriangle	yes
foreach_acosh_bf16	ops_math	ForeachTriangle	yes
foreach_atanh_f32	ops_math	ForeachTriangle	yes
foreach_atanh_f16	ops_math	ForeachTriangle	yes
foreach_atanh_bf16	ops_math	ForeachTriangle	yes
foreach_erf_f32	ops_math	ForeachTriangle	yes
foreach_erf_f16	ops_math	ForeachTriangle	yes
foreach_erf_bf16	ops_math	ForeachTriangle	yes
foreach_erfc_f32	ops_math	ForeachTriangle	yes
foreach_erfc_f16	ops_math	ForeachTriangle	yes
foreach_erfc_bf16	ops_math	ForeachTriangle	yes
foreach_erfinv_f32	ops_math	ForeachTriangle	yes
foreach_erfinv_f16	ops_math	ForeachTriangle	yes
foreach_erfinv_bf16	ops_math	ForeachTriangle	yes
foreach_expm1_f32	ops_math	ForeachImplictOutput	yes
foreach_expm1_f16	ops_math	ForeachImplictOutput	yes
foreach_expm1_bf16	ops_math	ForeachImplictOutput	yes
foreach_log1p_f32	ops_math	ForeachImplictOutput	yes
foreach_log1p_f16	ops_math	ForeachImplictOutput	yes
foreach_log1p_bf16	ops_math	ForeachImplictOutput	yes
foreach_softplus_f32	ops_math	ForeachTriangle	yes
foreach_softplus_f16	ops_math	ForeachTriangle	yes
foreach_softplus_bf16	ops_math	ForeachTriangle	yes
foreach_digamma_f32	ops_math	ForeachTriangle	yes
foreach_digamma_f16	ops_math	ForeachTriangle	yes
foreach_digamma_bf16	ops_math	ForeachTriangle	yes
foreach_lgamma_f32	ops_math	ForeachTriangle	yes
foreach_lgamma_f16	ops_math	ForeachTriangle	yes
foreach_lgamma_bf16	ops_math	ForeachTriangle	yes
foreach_i0_f32	ops_math	ForeachTriangle	yes
foreach_i0_f16	ops_math	ForeachTriangle	yes
foreach_i0_bf16	ops_math	ForeachTriangle	yes
foreach_i1_f32	ops_math	ForeachTriangle	yes
foreach_i1_f16	ops_math	ForeachTriangle	yes
foreach_i1_bf16	ops_math	ForeachTriangle	yes
foreach_hypot_f32	ops_math	ForeachNoScalarBinary	yes
foreach_hypot_f16	ops_math	ForeachNoScalarBinary	yes
foreach_hypot_bf16	ops_math	ForeachNoScalarBinary	yes
foreach_fma_f32	ops_math	ForeachOneScalarTernary	yes
foreach_fma_f16	ops_math	ForeachOneScalarTernary	yes
foreach_fma_bf16	ops_math	ForeachOneScalarTernary	yes
foreach_remainder_f32	ops_math	ForeachNoScalarBinary	yes
foreach_remainder_f16	ops_math	ForeachNoScalarBinary	yes
foreach_remainder_bf16	ops_math	ForeachNoScalarBinary	yes
foreach_copysign_f32	ops_math	ForeachNoScalarBinary	yes
foreach_copysign_f16	ops_math	ForeachNoScalarBinary	yes
foreach_copysign_bf16	ops_math	ForeachNoScalarBinary	yes
foreach_nextafter_f32	ops_math	ForeachNoScalarBinary	yes
foreach_nextafter_f16	ops_math	ForeachNoScalarBinary	yes
foreach_nextafter_bf16	ops_math	ForeachNoScalarBinary	yes
foreach_ldexp_f32	ops_math	ForeachNoScalarBinary	yes
foreach_ldexp_f16	ops_math	ForeachNoScalarBinary	yes
foreach_ldexp_bf16	ops_math	ForeachNoScalarBinary	yes
foreach_frexp_f32	ops_math	ForeachImplictOutput	yes
foreach_frexp_f16	ops_math	ForeachImplictOutput	yes
foreach_frexp_bf16	ops_math	ForeachImplictOutput	yes
foreach_logaddexp_f32	ops_math	ForeachNoScalarBinary	yes
foreach_logaddexp_f16	ops_math	ForeachNoScalarBinary	yes
foreach_logaddexp_bf16	ops_math	ForeachNoScalarBinary	yes
foreach_logaddexp2_f32	ops_math	ForeachNoScalarBinary	yes
foreach_logaddexp2_f16	ops_math	ForeachNoScalarBinary	yes
foreach_logaddexp2_bf16	ops_math	ForeachNoScalarBinary	yes
foreach_sincos_f32_910b	ops_math	ForeachTriangle	yes
foreach_sincos_f16_910b	ops_math	ForeachTriangle	yes
foreach_sincos_bf16_910b	ops_math	ForeachTriangle	yes
foreach_sincospi_f32_910b	ops_math	ForeachTriangle	yes
foreach_sincospi_f16_910b	ops_math	ForeachTriangle	yes
foreach_sincospi_bf16_910b	ops_math	ForeachTriangle	yes
foreach_j0_f32	ops_math	ForeachTriangle	yes
foreach_j0_f16	ops_math	ForeachTriangle	yes
foreach_j0_bf16	ops_math	ForeachTriangle	yes
foreach_j1_f32	ops_math	ForeachTriangle	yes
foreach_j1_f16	ops_math	ForeachTriangle	yes
foreach_j1_bf16	ops_math	ForeachTriangle	yes
foreach_y0_f32	ops_math	ForeachTriangle	yes
foreach_y0_f16	ops_math	ForeachTriangle	yes
foreach_y0_bf16	ops_math	ForeachTriangle	yes
foreach_y1_f32	ops_math	ForeachTriangle	yes
foreach_y1_f16	ops_math	ForeachTriangle	yes
foreach_y1_bf16	ops_math	ForeachTriangle	yes
foreach_polygamma_f32	ops_math	ForeachTriangle	yes
foreach_polygamma_f16	ops_math	ForeachTriangle	yes
foreach_polygamma_bf16	ops_math	ForeachTriangle	yes
foreach_zeta_f32	ops_math	ForeachTriangle	yes
foreach_zeta_f16	ops_math	ForeachTriangle	yes
foreach_zeta_bf16	ops_math	ForeachTriangle	yes
foreach_relu_f32	ops_nn	ForeachTriangle	yes
foreach_relu_f16	ops_nn	ForeachTriangle	yes
foreach_relu_bf16	ops_nn	ForeachTriangle	yes
foreach_relu6_f32	ops_nn	ForeachTriangle	yes
foreach_relu6_f16	ops_nn	ForeachTriangle	yes
foreach_relu6_bf16	ops_nn	ForeachTriangle	yes
foreach_leaky_relu_f32	ops_nn	ForeachTriangle	yes
foreach_leaky_relu_f16	ops_nn	ForeachTriangle	yes
foreach_leaky_relu_bf16	ops_nn	ForeachTriangle	yes
foreach_prelu_f32	ops_nn	ForeachNoScalarBinary	yes
foreach_prelu_f16	ops_nn	ForeachNoScalarBinary	yes
foreach_prelu_bf16	ops_nn	ForeachNoScalarBinary	yes
foreach_elu_f32	ops_nn	ForeachTriangle	yes
foreach_elu_f16	ops_nn	ForeachTriangle	yes
foreach_elu_bf16	ops_nn	ForeachTriangle	yes
foreach_selu_f32	ops_nn	ForeachTriangle	yes
foreach_selu_f16	ops_nn	ForeachTriangle	yes
foreach_selu_bf16	ops_nn	ForeachTriangle	yes
foreach_gelu_f32	ops_nn	ForeachTriangle	yes
foreach_gelu_f16	ops_nn	ForeachTriangle	yes
foreach_gelu_bf16	ops_nn	ForeachTriangle	yes
foreach_fast_gelu_f32	ops_nn	ForeachTriangle	yes
foreach_fast_gelu_f16	ops_nn	ForeachTriangle	yes
foreach_fast_gelu_bf16	ops_nn	ForeachTriangle	yes
foreach_sigmoid_f32	ops_nn	ForeachImplictOutput	yes
foreach_sigmoid_f16	ops_nn	ForeachImplictOutput	yes
foreach_sigmoid_bf16	ops_nn	ForeachImplictOutput	yes
foreach_hardsigmoid_f32	ops_nn	ForeachTriangle	yes
foreach_hardsigmoid_f16	ops_nn	ForeachTriangle	yes
foreach_hardsigmoid_bf16	ops_nn	ForeachTriangle	yes
foreach_hardswish_f32	ops_nn	ForeachTriangle	yes
foreach_hardswish_f16	ops_nn	ForeachTriangle	yes
foreach_hardswish_bf16	ops_nn	ForeachTriangle	yes
foreach_hardtanh_f32	ops_nn	ForeachTriangle	yes
foreach_hardtanh_f16	ops_nn	ForeachTriangle	yes
foreach_hardtanh_bf16	ops_nn	ForeachTriangle	yes
foreach_silu_f32	ops_nn	ForeachTriangle	yes
foreach_silu_f16	ops_nn	ForeachTriangle	yes
foreach_silu_bf16	ops_nn	ForeachTriangle	yes
foreach_mish_f32	ops_nn	ForeachTriangle	yes
foreach_mish_f16	ops_nn	ForeachTriangle	yes
foreach_mish_bf16	ops_nn	ForeachTriangle	yes
foreach_softplus_nn_f32	ops_nn	ForeachTriangle	yes
foreach_softplus_nn_f16	ops_nn	ForeachTriangle	yes
foreach_softplus_nn_bf16	ops_nn	ForeachTriangle	yes
foreach_softsign_f32	ops_nn	ForeachTriangle	yes
foreach_softsign_f16	ops_nn	ForeachTriangle	yes
foreach_softsign_bf16	ops_nn	ForeachTriangle	yes
foreach_tanh_nn_f32	ops_nn	ForeachImplictOutput	yes
foreach_tanh_nn_f16	ops_nn	ForeachImplictOutput	yes
foreach_tanh_nn_bf16	ops_nn	ForeachImplictOutput	yes
foreach_celu_f32	ops_nn	ForeachTriangle	yes
